ID,SITE,STRAT,UNIT,NAMED_ID,OTHERUNIT,RAWMATERIAL,CORTEX,CORTEXTYPE,ARTIFACTCLASS,COMPLETENESS,CORECOMPLETENESS,RETOUCHEDPIECETYPOLOGY,RETOUCHTYPE,RETOUCHFACE,RETOUCHREGIONNUMBER,RETOUCHREGIONLOCATION,LENGTHLONGESTRETOUCH,RETOUCHINVASIVENESS,EDGETHICKNESS_1,EDGETHICKNESS_2,EDGETHICKNESS_3,BACKEDTOOLEDGE_1,BACKEDTOOLEDGE_2,BACKEDTOOLEDGE_3,BACKEDTOOLWIDTH_1,BACKEDTOOLWIDTH_2,BACKEDTOOLWIDTH_3,BACKEDTOOLTHICKNESS_1,BACKEDTOOLTHICKNESS_2,BACKEDTOOLTHICKNESS_3,BACKEDTOOLARRIS,PLATFORM,FLAKEINITIATION,FLAKETERMINATION,PIECEBLANK,SCRAPERMAXTHICKNESS,SCRAPERRETOUCHLENGTH,SCRAPERRETOUCHANGLE1,SCRAPERRETOUCHANGLE2,SCRAPERRETOUCHANGLE3,SCRAPERDORSALANGLE1,SCRAPERDORSALANGLE2,SCRAPERDORSALANGLE3,SCRAPERRETOUCHHEIGHT1,SCRAPERRETOUCHHEIGHT2,SCRAPERRETOUCHHEIGHT3,FLAKEGEOMETRY,PLATFORMPREP,PLATABRASION,PLATFORMWIDTH,PLATFORMTHICKNESS,STAGE,CONARDUNIFIEDTYPE,CORESUBTYPOLOGY,COREBLANKSPHERICITY,COREPLATFACETED,SCARCOUNT,EXPLOITEDFACES,FLAKEGENERATIONSLENGTH,FLAKEGENERATIONSWIDTH,FLAKEGENERATIONSTHICKNESS,LENGHTLONGESTFLAKESCAR,MAXLENGTH,TECHLENGTH,MAXWIDTH,TECHWIDTH,MAXTHICKNESS,MASS,COMMMENTS,PHOTO
1038,LIK,XI,O4a,,,Opaline/CCS,1-10%,Outcrop,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,FacetWithBulb,No,7.69,2.58,Main,,,,,,,,,,,17.17,17.17,12.98,12.98,2.69,0.71,,N
1039,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,ResidualFacetWithBulb,No,9.83,2.7,Main,,,,,,,,,,,29.68,29.7,14.25,14.25,5.28,2.04,,N
1040,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,KITE,NotPrepared,No,17.38,2.96,Main,,,,,,,,,,,34.08,31.87,29.61,26.15,6.6,7.04,,N
1041,LIK,XI,O4a,,,Hornfels,0%,,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,No,,Feather,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,11.24,,8.1,,2.36,0.35,,N
104,LIK,XVII,P5c,,,Opaline/CCS,1-10%,Outcrop,Flake,Distal,,,,,,,,,,,,,,,,,,,,,,No,,Feather,,,,,,,,,,,,,TRIANGULAR,,,,,,,,,,,,,,,,18.15,,23.23,,3.06,1.5,,N
1042,LIK,XI,O4a,,,Opaline/CCS,0%,,Flake,Proximal,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Indeterminate,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,4.45,1.5,,,,,,,,,,,,13,,6.17,,2.46,0.22,,N
1043,LIK,XI,O4a,,,Hornfels,10-40%,Outcrop,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,Indeterminate,No,6.59,1.99,Main,,,,,,,,,,,9.99,9.95,13.7,13.7,2.47,0.37,,N
1044,LIK,XI,O4a,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Overshot,,,,,,,,,,,,,RECTANGULAR,Indeterminate,No,3.93,1.46,Main,,,,,,,,,,,22.15,22.15,15.44,10.52,2.55,0.9,,N
1045,LIK,XI,O4a,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,9.26,1.11,Main,,,,,,,,,,,7.19,6.41,15.06,14.87,1.58,0.21,,N
1046,LIK,XI,O4a,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,No,5.29,4.21,Main,,,,,,,,,,,10.01,10.01,6.3,6.32,3.15,0.23,,N
1047,LIK,XI,O4a,,,Hornfels,0%,,Flake,Fragment,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,TRIANGULAR,NotPrepared,Yes,16.11,3.47,,,,,,,,,,,,15.64,,15.97,,2.31,0.93,,N
1048,LIK,XI,O4a,,,Hornfels,0%,,Flake,Mesial,,,,,,,,,,,,,,,,,,,,,,No,,Indeterminate,,,,,,,,,,,,,RECTANGULAR,,,,,,,,,,,,,,,,16.39,,8.14,,5.23,0.63,,N
1049,LIK,XI,O4a,,,Hornfels,0%,,Flake,Complete,,,,,,,,,,,,,,,,,,,,,,Yes,Hertzian,Feather,,,,,,,,,,,,,RECTANGULAR,NotPrepared,Yes,4.51,2.57,Main,,,,,,,,,,,22.85,19.41,6.47,6.26,4.08,0.75,,N
