"","Rem.Weight","Max.thick","Mean.t","GIUR"
"83",1.49,2.78,8.29779761904762,25.7615301573257
"84",2.35,5.02,8.29779761904762,183.487619616723
"85",1.88,5.09,8.29779761904762,365.107342150789
"86",1.42,4.3,8.29779761904762,58.4986389593275
"87",1.23,4.57,8.29779761904762,46.7860676444265
"88",0.36,2.54,8.29779761904762,25.34041964828
"89",3.32,5.46,8.29779761904762,120.351852837506
"90",1.46,5.58,8.29779761904762,97.0010457879419
"91",0.95,4.02,8.29779761904762,38.4707496713055
"92",3.96,5.22,8.29779761904762,91.89959557835
"93",0.56,2.22,8.29779761904762,27.9002079974306
"94",0.96,3.22,8.29779761904762,45.9584976289996
"95",2.09,4.71,8.29779761904762,165.891091847601
"96",1.95,5.3,8.29779761904762,346.566637603275
"97",2.63,6.34,8.29779761904762,372.106767746244
"98",4.53,10.33,8.29779761904762,216.56864864429
"99",3.73,6.56,8.29779761904762,191.111106590832
"100",2.19,6.62,8.29779761904762,147.191627427381
"101",2.21,4.16,8.29779761904762,150.355283676648
"102",0.73,3,8.29779761904762,37.7143369612722
"103",3.25,6.08,8.29779761904762,321.833965288402
"104",1.35,4.26,8.29779761904762,52.1012113047192
"105",3.1,8.18,8.29779761904762,785.768295348362
"106",0.73,3.1,8.29779761904762,51.8411528780674
"107",0.85,3.55,8.29779761904762,34.8016163891976
"108",2.19,4.9,8.29779761904762,61.0763645430724
"109",0.74,3.15,8.29779761904762,38.6196313305129
"110",2.42,6.08,8.29779761904762,192.194784548514
"111",2.03,4.95,8.29779761904762,84.6526945516009
"112",2.91,4.88,8.29779761904762,496.094826196686
"113",1.17,4.04,8.29779761904762,97.6940128641354
"114",3.22,8.35,8.29779761904762,75.1127329501498
"115",1.67,5.53,8.29779761904762,28.3124855731635
"116",2.24,4.73,8.29779761904762,89.2692860195302
"117",0.9,4.38,8.29779761904762,72.4441918946563
"118",1.47,4.92,8.29779761904762,35.8064256884068
"119",1.53,5.16,8.29779761904762,201.201037083621
"120",3.39,5.83,8.29779761904762,78.1135371088755
"121",1.68,4.68,8.29779761904762,49.4099040088999
"122",0.82,3.27,8.29779761904762,21.6045744162189
"123",0.71,3.91,8.29779761904762,39.2284916167873
"124",2.83,5.45,8.29779761904762,366.864065740337
"125",2.77,7.31,8.29779761904762,301.63781204687
"126",0.18,3.02,8.29779761904762,2.60275701711559
"127",1.03,4.59,8.29779761904762,104.631875852565
"128",1.25,4.05,8.29779761904762,43.8643011572897
"129",0.57,2.98,8.29779761904762,33.7985359300574
"130",0.47,2.75,8.29779761904762,53.3638910781098
"131",0.92,3.93,8.29779761904762,37.6031530470139
"132",0.63,3.01,8.29779761904762,49.848450747533
"133",0.32,1.91,8.29779761904762,32.9475853590878
"134",0.31,2.31,8.29779761904762,26.0083538584434
"135",0.92,4.42,8.29779761904762,66.8942091600077
"136",1.22,5.14,8.29779761904762,94.748964122643
"137",1.54,4.58,8.29779761904762,88.8198465187446
"138",0.72,3.13,8.29779761904762,57.1984574108667
"139",2,4.4,8.29779761904762,112.70341331729
"140",1.57,4.94,8.29779761904762,101.88790807916
"141",3.31,6.27,8.29779761904762,352.306492130022
"142",0.73,3.5,8.29779761904762,47.4770694064819
"143",2.47,4.75,8.29779761904762,94.4555113191222
"144",1.17,4.28,8.29779761904762,71.3198724420907
"145",0.89,3.51,8.29779761904762,88.8287864409415
"146",1.35,4.88,8.29779761904762,117.860838692772
"147",1.63,3.4,8.29779761904762,72.7582260054965
"148",0.72,3.8,8.29779761904762,33.7626045706407
"149",0.79,4.37,8.29779761904762,57.3575692011928
"150",2.04,5.2,8.29779761904762,143.72551943678
"151",2.07,5.61,8.29779761904762,127.586607132893
"152",3,5.69,8.29779761904762,177.082264639626
"153",2.65,5.17,8.29779761904762,299.001446854862
"154",1.68,3.98,8.29779761904762,39.5469329487774
"155",1,3.67,8.29779761904762,38.4188052615405
"156",2.37,6.78,8.29779761904762,65.7413573334414
"157",0.84,3.19,8.29779761904762,12.9367221022336
"158",1.15,3.09,8.29779761904762,52.8742660936917
"159",0.78,2.65,8.29779761904762,30.4325310336064
"160",0.95,2.81,8.29779761904762,51.9085106111633
"161",1.11,3.33,8.29779761904762,55.827453421894
"162",0.68,3.56,8.29779761904762,56.8414981890552
"163",1.67,6.19,8.29779761904762,65.4139901429814
"164",0.48,2.11,8.29779761904762,19.7117445749941
"165",1.14,3.54,8.29779761904762,30.2435013172808
"166",1.5,4.22,8.29779761904762,75.8924324743517
"167",0.38,2.61,8.29779761904762,18.6036744940922
"168",0.67,3.19,8.29779761904762,63.4656357968971
