"","contrast","ratio","lower.HPD","upper.HPD"
"31","STRAT_mod0.09 Hornfels / (STRAT_mod0.01 Opaline/CCS)",1.33837805060454,0.903081602687527,1.79234649504183
"32","STRAT_mod0.09 Hornfels / (STRAT_mod0.09 Opaline/CCS)",1.80861343186926,1.75303564700069,1.86326894710584
"33","STRAT_mod0.09 Hornfels / (STRAT_mod0.1 Opaline/CCS)",1.59338397808777,1.24420808771695,2.03342501585582
"34","STRAT_mod0.09 Hornfels / (STRAT_mod0.2 Opaline/CCS)",0.784628030007804,0.60445761995707,0.987829657071388
"35","STRAT_mod0.09 Hornfels / (STRAT_mod0.3 Opaline/CCS)",1.94883957191556,1.49774898664809,2.41427683401549
"36","STRAT_mod0.09 Hornfels / (STRAT_mod0.82 Opaline/CCS)",1.04457436775859,0.82740768970978,1.30383016411548
"37","STRAT_mod0.09 Hornfels / (STRAT_mod1.08 Opaline/CCS)",1.5429707247433,1.21659134545123,1.92926919039024
"38","STRAT_mod0.09 Hornfels / (STRAT_mod1.44 Opaline/CCS)",1.65092653565193,1.33634640688225,2.09041192405264
"39","STRAT_mod0.09 Hornfels / (STRAT_mod2.15 Opaline/CCS)",1.96521885006364,1.40356500608976,2.5805633542596
"40","STRAT_mod0.09 Hornfels / (STRAT_mod2.88 Opaline/CCS)",5.92276997627984,4.6260793494456,7.30350701631156
"41","STRAT_mod0.09 Hornfels / (STRAT_mod3.37 Opaline/CCS)",2.33903056437454,1.83983956990997,2.90875057810087
"42","STRAT_mod0.1 Hornfels / STRAT_mod0.2 Hornfels",0.492137631942632,0.418523327434465,0.571321762732263
"43","STRAT_mod0.1 Hornfels / STRAT_mod0.3 Hornfels",1.22248758219474,1.05980839362733,1.40107785337988
"44","STRAT_mod0.1 Hornfels / STRAT_mod0.82 Hornfels",0.655881048951474,0.573800897992763,0.742047337391908
"45","STRAT_mod0.1 Hornfels / STRAT_mod1.08 Hornfels",0.967335959957579,0.837743118027556,1.08683607426736
"46","STRAT_mod0.1 Hornfels / STRAT_mod1.44 Hornfels",1.03537208518603,0.907560192155155,1.18490512017527
